Type,Name,Middle,Transitional,Recovered
Upstream,ETV3,-4.583,-3.873,-3.606
Upstream,ETV6,-4.333,-3.576,-3.434
Upstream,IRGM,-4.988,-3.953,-3.297
Upstream,BANF1,-5.163,-3.797,-3.244
Upstream,TREX1,-4.199,-3.088,-3.233
Upstream,ZNF750,-3.722,-3.223,-3.217
Upstream,RC3H1,-4.347,-3.162,-3.162
Upstream,UBAP1,-4.231,-3.148,-2.985
Upstream,STAG2,-4.1,-2.828,-2.983
Upstream,SOCS1,-4.303,-3.35,-2.848
Upstream,F3,-4.142,-3.814,-2.764
Upstream,SOCS3,-3.19,-2.396,-2.613
Upstream,miR-145-5p (and other miRNAs w/seed UCCAGUU),-2.944,-2.395,-2.592
Upstream,SP110,-2.4,-1.941,-2.53
Upstream,PCK1,-3.459,-2.668,-2.478
Upstream,USP18,-4.029,-2.945,-2.449
Upstream,HOTAIR,-1.102,-1.993,-2.442
Upstream,RNASEH2B,-4.219,-2.557,-2.382
Upstream,NFKBIA,1.153,0.095,-2.334
Upstream,IL33,2.851,-1.388,-2.33
Upstream,Cdkn2a,1.326,,-2.236
Upstream,PELI2,-1.869,-2.228,-2.228
Upstream,Irgm1,-3.907,-2.418,-2.204
Upstream,FCER1G,-0.993,-2.201,-2.201
Upstream,TTC39A-AS1,-3.557,-2.598,-2.185
Upstream,IL1RN,-3.329,-2.499,-2.174
Upstream,IL25,-0.493,,-2.173
Upstream,TREM1,0.129,-2.593,-2.133
Upstream,RPSA,-3.121,-2.132,-2.132
Upstream,ISG15,-2.439,-2.227,-2.111
Upstream,PGR,-2.024,-2.791,-2.107
Upstream,IL6,2.888,-2.441,-2.053
Upstream,TLR2,0.869,-1.016,-2.023
Upstream,ACKR2,-3.148,-2.4,-2
Upstream,FBXO44,-2.333,-2,-2
Upstream,NGLY1,-2,-2,-2
Upstream,LDB1,0,-2,-2
Upstream,MFGE8,1.195,-2,-2
Upstream,IL17RA,1.673,-1.342,-2
Upstream,MIF,-0.645,-1.59,-1.987
Upstream,SERPINE1,0.495,-1.982,-1.982
Upstream,IL4,0.52,-2.429,-1.962
Upstream,ICOS,-0.963,,-1.96
Upstream,SREBF1,0.447,-1.103,-1.951
Upstream,AREG,-1.255,-2.147,-1.948
Upstream,ADAR,-2.258,-2.396,-1.941
Upstream,EGR2,1.307,-1.01,-1.941
Upstream,CCL2,0.739,-1.134,-1.937
Upstream,MAPK8,-0.198,-0.185,-1.925
Upstream,CSF3,3.098,-1.568,-1.86
Upstream,NFE2L2,-1.762,-2.236,-1.85
Upstream,CXCL8,0.018,-0.648,-1.804
Upstream,IMMT,-1.976,-1.539,-1.765
Upstream,RELA,2.078,-2.409,-1.756
Upstream,CEBPA,2.504,-2.307,-1.748
Upstream,USP8,-4.416,-2.621,-1.744
Upstream,TET2,-0.632,-0.816,-1.728
Upstream,PKC,-1.73,-0.919,-1.724
Upstream,USP22,0.39,-2.2,-1.72
Upstream,estrogen receptor,1.026,-1.732,-1.715
Upstream,KDR,-0.447,0,-1.715
Upstream,TCR (complex),-1.332,-1.985,-1.69
Upstream,MMP9,-0.639,-1.698,-1.686
Upstream,LMO2,0.218,-1.342,-1.671
Upstream,IL21,1.879,0.998,-1.668
Upstream,ESR2,-3.524,-2.359,-1.664
Upstream,PI3K (complex),0.646,-1.928,-1.625
Upstream,TAP1,-1.29,-1.315,-1.608
Upstream,STAT3,1.065,-1.571,-1.605
Upstream,STAT6,-2.342,-2.401,-1.553
Upstream,TGFA,-0.884,-2.217,-1.532
Upstream,IGF2BP1,-1.151,0,-1.528
Upstream,PIN1,-0.389,,-1.517
Upstream,Scd1,-2.739,-1.067,-1.491
Upstream,LIF,1.646,-1.097,-1.457
Upstream,ITGB1,0.782,-1.945,-1.446
Upstream,PDGF-BB,-0.086,-1.989,-1.439
Upstream,IRF6,1.483,-0.651,-1.432
Upstream,TCF7,-0.547,-0.557,-1.432
Upstream,IgE,1.814,0.302,-1.431
Upstream,MAPK1,-3.472,-3.632,-1.422
Upstream,CD276,-2.554,-1.63,-1.411
Upstream,PPP2CA,-2.417,-1.066,-1.408
Upstream,IL1,1.838,-1.912,-1.404
Upstream,CAV1,-1.461,-1.964,-1.4
Upstream,GATA3,-1.2,-1.353,-1.398
Upstream,JUN,1.538,-1.676,-1.366
Upstream,LINC00624,-2.961,-2.206,-1.354
Upstream,GAPDH,-2.029,-2.2,-1.342
Upstream,MDM4,-1.342,-2,-1.342
Upstream,IL12 (family),0.461,-1.37,-1.342
Upstream,OSM,3.427,-0.215,-1.32
Upstream,HSP90 (family),0.231,,-1.318
Upstream,ARID1A,-1.283,0.547,-1.304
Upstream,IRF2,-1.316,-0.894,-1.293
Upstream,IRF4,-1.521,-1.012,-1.292
Upstream,NOS2,1.62,-0.986,-1.276
Upstream,CEBPD,1.162,-1.763,-1.274
Upstream,CSF2,1.872,-1.735,-1.272
Upstream,ITK,0.145,-0.896,-1.264
Upstream,MYB,-2.042,-2.042,-1.262
Upstream,CAMP,1.94,-0.449,-1.251
Upstream,IL17A,1.983,-2.224,-1.243
Upstream,PNPLA2,-1.373,,-1.238
Upstream,REL,-0.581,-0.761,-1.236
Upstream,PRKCE,-1.011,-1.924,-1.23
Upstream,NFAT (family),-0.077,0.025,-1.225
Upstream,SREBF2,-3.244,-2.414,-1.219
Upstream,EBI3,1.033,1.056,-1.213
Upstream,PTGER4,-2.398,-1.436,-1.2
Upstream,MTOR,-0.503,-1.756,-1.195
Upstream,HSP27,-0.371,-1.044,-1.188
Upstream,IKBKG,2.276,0.179,-1.188
Upstream,TSC2,-2.574,,-1.188
Upstream,FN1,0.838,0.386,-1.187
Upstream,TRAF2,0.462,,-1.183
Upstream,CALCA,-0.762,,-1.177
Upstream,IL10,-0.029,-0.203,-1.16
Upstream,CD40,0.484,0.303,-1.155
Upstream,KRAS,-1.077,-3.283,-1.148
Upstream,PRDM1,-1.694,0.157,-1.134
Upstream,NFKB1,0.615,-1.236,-1.133
Upstream,PRKAA2,-0.894,,-1.131
Upstream,JUNB,1.294,,-1.131
Upstream,TAB1,-1.997,-1.913,-1.125
Upstream,KITLG,-0.936,-1.441,-1.113
Upstream,EGFR,-0.512,-1.388,-1.11
Upstream,ZC3H12A,-1.219,-1,-1.109
Upstream,PTGER2,0.647,,-1.109
Upstream,IL6R,0.279,-1.744,-1.103
Upstream,CITED2,-3.081,-1.038,-1.103
Upstream,TGF beta,-0.982,-0.545,-1.101
Upstream,QKI,-2.168,-2.828,-1.1
Upstream,PTH,-0.312,,-1.074
Upstream,MRTFB,-1.51,-0.152,-1.067
Upstream,EP300,-1.281,-2.418,-1.066
Upstream,IKBKB,1.886,-1.029,-1.063
Upstream,ELAVL1,-1.783,-1.347,-1.053
Upstream,IRF8,1.567,-1.572,-1.034
Upstream,KLF6,2.245,-1.145,-1.012
Upstream,NTRK1,,-0.686,-1
Upstream,FGFR2,-0.625,-0.378,-1
Upstream,MAP4K1,0,-0.254,-1
Upstream,RBPJ,2.025,0.218,-1
Upstream,ID2,0.204,0.47,-1
Upstream,IL4R,2.828,,-1
Upstream,FOXO1,0.134,-1.036,-0.992
Upstream,TNFSF11,0.113,-1.333,-0.99
Upstream,PLCG2,-2.214,-1.099,-0.988
Upstream,ADIPOQ,-1.82,-1.208,-0.964
Upstream,NRG1,-0.469,-1.961,-0.947
Upstream,PKA,1.467,-1.029,-0.946
Upstream,CD40LG,2.934,-0.426,-0.945
Upstream,FURIN,-1,,-0.911
Upstream,CG,1.657,-1.989,-0.899
Upstream,VIP,-1.078,-0.987,-0.894
Upstream,PARP1,1.241,0.244,-0.894
Upstream,CREB1,-0.154,-1.955,-0.888
Upstream,F2R,-0.641,-1.984,-0.875
Upstream,HGF,-0.389,-2.194,-0.869
Upstream,PRKCD,0.434,-1.495,-0.862
Upstream,LGALS9,-0.2,-1.982,-0.849
Upstream,ID3,1.101,-0.579,-0.849
Upstream,GSTO1,-1.937,,-0.849
Upstream,INS,0.616,-1.959,-0.842
Upstream,KLF4,-0.868,-1.596,-0.819
Upstream,TYK2,0.332,1.213,-0.818
Upstream,KMT2D,-3.308,-2.236,-0.816
Upstream,NUPR1,-1.265,-2,-0.816
Upstream,RRAS2,1.155,-0.447,-0.816
Upstream,AHR,1.523,0.141,-0.792
Upstream,CRH,1.107,-1.49,-0.763
Upstream,F2,0.426,-1.313,-0.757
Upstream,VEGF,-0.145,-1.411,-0.743
Upstream,FOS,-0.555,-2.041,-0.728
Upstream,MEK,-0.761,-1.38,-0.728
Upstream,CHUK,1.917,-0.792,-0.723
Upstream,ERK,-0.47,-1.007,-0.672
Upstream,MYC,-3.988,-2.788,-0.664
Upstream,NCOR1,-1.054,-0.933,-0.655
Upstream,Casp4,1.911,,-0.655
Upstream,ECSIT,1.012,,-0.651
Upstream,UCP1,-2.121,-2,-0.64
Upstream,CEBPB,-1.471,-0.293,-0.64
Upstream,FGF2,-0.958,-2.012,-0.616
Upstream,cytokine,2.31,-1.095,-0.609
Upstream,NFkB (complex),3.193,-1.191,-0.608
Upstream,EDN1,-0.85,-1.746,-0.599
Upstream,HRAS,0.779,-1.869,-0.577
Upstream,TNFSF10,2.613,0.418,-0.537
Upstream,PPARA,-0.827,-1.323,-0.529
Upstream,CXCL12,1.195,-0.799,-0.52
Upstream,IL13,0.62,-1.167,-0.503
Upstream,SMAD3,-0.064,-1.475,-0.496
Upstream,mir-21 (includes others),-1.411,-0.359,-0.478
Upstream,STAT4,2.194,0.213,-0.478
Upstream,FSH,1.201,-1.199,-0.476
Upstream,PIK3R1,-0.096,-1.97,-0.443
Upstream,AKT1,-0.046,-1.4,-0.431
Upstream,TNF (family),2.515,-1.266,-0.425
Upstream,CASP8,-1.353,,-0.415
Upstream,CEBPE,2.19,-0.269,-0.405
Upstream,MAPK3,-0.941,-1.487,-0.399
Upstream,KDM1A,-1.294,,-0.391
Upstream,VEGFA,-1.023,-0.703,-0.343
Upstream,TNFSF9,-1.671,-1.446,-0.339
Upstream,FCGR2A,1.355,-0.339,-0.339
Upstream,insulin,-0.285,-2.031,-0.335
Upstream,NKX2-3,-3.314,-2.121,-0.333
Upstream,JAK2,1.86,-1.593,-0.333
Upstream,AGT,1.167,-1.656,-0.329
Upstream,IL5,1.9,-0.484,-0.323
Upstream,POU5F1,1.109,,-0.314
Upstream,RARRES2,-1.687,,-0.313
Upstream,OGA,1.606,2,-0.302
Upstream,PTGS2,1.256,0.302,-0.3
Upstream,EBF1,1.15,-1,-0.283
Upstream,miR-146a-5p (and other miRNAs w/seed GAGAACU),-2.014,1.982,-0.254
Upstream,HNF4A,1.48,,-0.251
Upstream,BCL6,-1.646,-1.282,-0.246
Upstream,C5,1.503,-0.278,-0.231
Upstream,MAPK9,0.885,-1.491,-0.218
Upstream,NOTCH,-2.359,0.655,-0.218
Upstream,LIPE,-1.671,,-0.218
Upstream,YAP1,0.302,-1.328,-0.208
Upstream,WWTR1,-1.97,-1.285,-0.208
Upstream,JAK1,3.109,-0.294,-0.186
Upstream,ETS1,1.155,-1.067,-0.168
Upstream,APP,2.875,1.12,-0.168
Upstream,NLRX1,-1.788,-0.84,-0.166
Upstream,TGFBR2,-1.756,-1.342,-0.164
Upstream,CCL5,0.185,-1.981,-0.152
Upstream,RHOA,0.647,-1.181,-0.152
Upstream,SRF,-2.178,-1.057,-0.152
Upstream,DLL4,-1.131,,-0.152
Upstream,p38 MAPK,1.743,-0.656,-0.146
Upstream,SPHK1,-1.329,-0.364,-0.14
Upstream,SPI1,4.123,0.142,-0.1
Upstream,APOE,-2.508,0.782,-0.079
Upstream,GLI1,1.063,1.177,-0.069
Upstream,MAPK14,1.851,-0.41,-0.06
Upstream,TCF4,-2.79,-1.915,0
Upstream,CD38,1.188,-0.343,0
Upstream,CTCF,-1.195,-0.152,0
Upstream,GFI1,-1.217,-0.03,0
Upstream,IL10RA,-3.411,,0
Upstream,SYVN1,-1.757,,0
Upstream,RNF31,-1.446,,0
Upstream,E2F1,-1.055,,0
Upstream,HAVCR1,1.69,,0
Upstream,NR4A3,1.744,,0
Upstream,CSF,2.887,,0
Upstream,ITPR2,3.302,,0
Upstream,Mrgpra2a (includes others),4.243,,0
Upstream,HDL,-1.272,,0.027
Upstream,BCR (complex),-2.347,-0.823,0.039
Upstream,HIF1A,0.543,-1.034,0.043
Upstream,IL18,2.159,0.044,0.086
Upstream,ERK1/2,-0.888,-1.371,0.089
Upstream,WNT3A,-1.642,,0.098
Upstream,COP1,-0.084,-1,0.105
Upstream,SNCA,1.551,,0.11
Upstream,CTNNB1,1.227,-1.521,0.113
Upstream,SRC,-0.064,-1.374,0.115
Upstream,IGF1,0.198,-1.179,0.117
Upstream,NFATC2,2.738,1.591,0.119
Upstream,LTA,1.51,,0.152
Upstream,IL2,0.822,1.048,0.156
Upstream,MUC1,2.188,1.009,0.197
Upstream,TLR,2.179,-0.256,0.203
Upstream,LEP,1.155,-1.801,0.215
Upstream,BHLHE40,3.284,-0.12,0.215
Upstream,TNFSF12,2.394,-0.534,0.236
Upstream,METTL3,-1.192,-1.224,0.237
Upstream,ZBTB16,-1.376,1.195,0.239
Upstream,IL12 (complex),2.505,0.245,0.259
Upstream,VDR,0.26,-1.095,0.26
Upstream,mir-146 (includes others),-1.55,-0.549,0.266
Upstream,MAP3K8,1.815,-0.455,0.269
Upstream,ESRRA,,1.342,0.277
Upstream,LPL,1.803,0.831,0.284
Upstream,NFkB (family),0.513,-1.156,0.291
Upstream,IL1A,4.582,-0.312,0.3
Upstream,mir-155,-1.27,-1.851,0.304
Upstream,CREB,0.938,-1.005,0.342
Upstream,MAP2K4,-0.883,-1.287,0.351
Upstream,FAS,1.637,1.325,0.352
Upstream,IL15,1.721,1.438,0.373
Upstream,IL7,1.085,1.003,0.379
Upstream,MAP3K7,1.197,-0.483,0.386
Upstream,CD274,1.303,-0.44,0.391
Upstream,MYD88,2.677,0.804,0.409
Upstream,NF2,1.131,,0.418
Upstream,S100A9,1.932,-0.26,0.434
Upstream,CNTF,3.01,-0.059,0.478
Upstream,SMARCB1,2.053,1.109,0.485
Upstream,GATA1,-2.076,-2.221,0.5
Upstream,TAFAZZIN,1.05,-0.426,0.513
Upstream,IL24,1.009,0.785,0.513
Upstream,SATB1,-1.329,0.721,0.6
Upstream,IL36G,2.884,0.895,0.61
Upstream,S100A8,1.59,-0.561,0.632
Upstream,GRN,-1.48,0,0.64
Upstream,TNF,5.458,0.787,0.651
Upstream,TGM2,2.853,0.845,0.653
Upstream,FBXW7,-0.476,1.133,0.655
Upstream,POU2AF1,1.542,0.235,0.665
Upstream,IKZF1,-1.329,-1.054,0.692
Upstream,DKK1,1.863,,0.698
Upstream,SOX2,0.068,-1.016,0.705
Upstream,CYBB,1.472,-1.732,0.728
Upstream,IGF1R,-0.592,-1.093,0.728
Upstream,IgG,-0.35,-1.544,0.738
Upstream,PKM,-0.325,-1.793,0.742
Upstream,SIRT1,-1.389,0.577,0.788
Upstream,growth hormone,2.237,0.916,0.813
Upstream,MAP2K1,-1.212,-1.673,0.816
Upstream,BRCA1,1.676,0.762,0.843
Upstream,PPARGC1A,-2.924,-1.156,0.853
Upstream,TP53,2.705,3.553,0.864
Upstream,SMARCA4,1.73,1.022,0.867
Upstream,NOTCH1,-1.181,0.864,0.887
Upstream,TXNIP,-0.375,1.345,0.9
Upstream,IL1B,5.695,0.746,0.922
Upstream,STAT5B,-0.659,-0.092,1
Upstream,SAFB,-2.121,0.447,1
Upstream,PDLIM2,-0.378,1,1
Upstream,JAK3,-0.378,,1
Upstream,NCOA3,0.808,,1.003
Upstream,miR-30c-5p (and other miRNAs w/seed GUAAACA),,,1.011
Upstream,TLR3,2.175,1.45,1.021
Upstream,EPAS1,-1.722,0.555,1.044
Upstream,NEIL2,-0.956,1.067,1.067
Upstream,IFNE,2.158,1.446,1.091
Upstream,EPO,-0.99,-1.041,1.095
Upstream,TLR7,4.074,1.482,1.1
Upstream,NCSTN,,,1.109
Upstream,PRKCA,0.883,0.499,1.135
Upstream,26S proteasome,0.071,0.882,1.146
Upstream,DICER1,0.258,-1.067,1.172
Upstream,EIF4EBP1,-0.849,,1.188
Upstream,NR3C1,-0.319,0.938,1.202
Upstream,FOSL1,-0.536,0,1.206
Upstream,ATG7,0.441,-0.6,1.211
Upstream,PPARD,-0.48,0.714,1.219
Upstream,RARB,1.938,1.925,1.248
Upstream,TBK1,-0.169,0.215,1.263
Upstream,DUSP1,-1.306,0.158,1.298
Upstream,EIF4E,2.31,0.926,1.3
Upstream,NFAT5,-0.054,-1.136,1.315
Upstream,IFNG,7.98,3.324,1.334
Upstream,IL32,2.22,0.701,1.341
Upstream,activin (family),-0.578,-1.342,1.342
Upstream,ZBTB10,2.711,0.707,1.342
Upstream,RARA,0.526,0.968,1.342
Upstream,FADD,3.04,1.915,1.342
Upstream,PRKAA1,0.938,,1.342
Upstream,TP63,0.231,-0.44,1.351
Upstream,BTK,2.541,1.114,1.36
Upstream,SLC15A4,2.868,0.777,1.387
Upstream,FOXC1,4.487,2.168,1.387
Upstream,TRIM38,-0.291,2.174,1.396
Upstream,EGOT,1.4,0.765,1.4
Upstream,IFIH1,2.457,1.4,1.4
Upstream,PARP9,1.841,0.956,1.408
Upstream,HDAC1,-0.426,,1.408
Upstream,PI3K (family),2.093,0.262,1.477
Upstream,UBR5,2.159,1.914,1.478
Upstream,TICAM1,3.287,1.734,1.511
Upstream,LDL,3.695,1.402,1.606
Upstream,TERT,3.086,2.233,1.616
Upstream,TAL1,0.015,1.195,1.664
Upstream,ORMDL3,2.376,1.937,1.664
Upstream,RUNX1,-0.474,0.475,1.673
Upstream,IRF9,2.451,2.094,1.698
Upstream,IRF5,2.724,1.757,1.706
Upstream,PML,3.973,2.137,1.706
Upstream,SGPL1,1.45,2.401,1.718
Upstream,TBX21,0.742,2.461,1.72
Upstream,TLR9,2.367,1.463,1.779
Upstream,STAT1,5.265,1.987,1.814
Upstream,TASL,2.345,1.633,1.89
Upstream,STAT2,2.744,2.14,1.931
Upstream,AIM2,-0.675,,1.94
Upstream,PLAAT4,0.442,,1.959
Upstream,miR-155-5p (miRNAs w/seed UAAUGCU),-1.234,,1.963
Upstream,LDLR,0.496,1.698,1.964
Upstream,YY1,1.342,0.479,1.969
Upstream,IFN gamma,4.081,2.324,1.969
Upstream,IFN alpha/beta,3.346,2.397,1.969
Upstream,VCAN,0.839,1.062,1.97
Upstream,RIGI,3.354,2.769,1.972
Upstream,IRF2BP2,-1.539,0.447,1.982
Upstream,IgG1,,,1.982
Upstream,FAM222A,1.987,1.987,1.987
Upstream,PRC2,1.287,,1.987
Upstream,FBN1,2.236,2,2
Upstream,LINC02574,2.236,2,2
Upstream,RNF5,-2.236,,2
Upstream,ATP1B1,1.994,,2
Upstream,Immunoglobulin,1.772,3.493,2.041
Upstream,EZH2,1.741,2.774,2.154
Upstream,C1QA,3.531,1.999,2.214
Upstream,mir-15 (includes others),1.935,2.416,2.224
Upstream,EIF2AK2,2.861,1.019,2.236
Upstream,CGAS,3.981,2.717,2.301
Upstream,TLR4,3.251,1.212,2.324
Upstream,TWIST1,1.549,2.345,2.36
Upstream,IFNA4,3.05,2.36,2.36
Upstream,IFNAR,5.024,2.941,2.401
Upstream,IFNA1/IFNA13,3.936,2.855,2.418
Upstream,YTHDC2,2.63,2.449,2.449
Upstream,JAK,3.162,2.828,2.449
Upstream,interferon alpha,6.564,4.484,2.566
Upstream,TNIK,4.031,3.231,2.578
Upstream,MAVS,3.462,3.356,2.611
Upstream,IFNL4,3.137,2.801,2.616
Upstream,STING1,5.092,3.316,2.763
Upstream,PAF1,2.333,2.449,2.828
Upstream,IL27,4.694,3.514,2.874
Upstream,IFNL1,4.37,3.164,2.877
Upstream,IFNAR1,3.828,3.39,2.915
Upstream,IFN,4.353,3.035,2.934
Upstream,RNY3,3.317,3.162,3
Upstream,IRF7,5.596,3.426,3.051
Upstream,IFNB1,5.272,4.211,3.17
Upstream,PRL,3.526,2.31,3.273
Upstream,RIPK2,4.617,4.123,3.357
Upstream,IRF3,4.512,3.36,3.36
Upstream,CHROMR,4.831,3.777,3.38
Upstream,IFN type 1,5.278,4.149,3.385
Upstream,IFNA2,5.659,4.019,3.395
Upstream,IRF1,5.005,3.75,3.408
Upstream,IFN beta,4.693,3.929,3.431
Upstream,NONO,5.238,4.427,3.793
Upstream,PSEN2,-1.698,-2.425,
Upstream,NFKB2,-0.637,-2.412,
Upstream,TRIM24,-3.729,-2.236,
Upstream,HNRNPU,-0.693,-2.236,
Upstream,TEK,-1.585,-2.219,
Upstream,LEPR,-0.588,-2.213,
Upstream,PNPT1,-2.795,-2.2,
Upstream,NGEF,-1.342,-2,
Upstream,SLC40A1,-0.816,-2,
Upstream,YBX1,-0.213,-2,
Upstream,ID1,0.889,-2,
Upstream,CX3CR1,,-2,
Upstream,IL22,1.22,-1.984,
Upstream,HMGA1,-2.433,-1.982,
Upstream,B4GALNT1,-2.2,-1.982,
Upstream,FGF19,-0.314,-1.982,
Upstream,SMAD4,-0.899,-1.981,
Upstream,PRDM16,-1.857,-1.98,
Upstream,IKZF3,-1.51,-1.98,
Upstream,PTHLH,-1.972,-1.968,
Upstream,TARDBP,-0.816,-1.964,
Upstream,PTK2B,,-1.96,
Upstream,PTGFR,,-1.934,
Upstream,CAMK4,1.342,-1.929,
Upstream,IL1R1,0.398,-1.732,
Upstream,PSEN1,-1.746,-1.731,
Upstream,Ap1,-0.144,-1.729,
Upstream,TXN,-0.436,-1.718,
Upstream,NR3C2,0.505,-1.414,
Upstream,RACK1,-1,-1.406,
Upstream,AR,-1.423,-1.383,
Upstream,TGFBR1,-3.053,-1.342,
Upstream,FLT3LG,0.232,-1.342,
Upstream,BDNF,,-1.288,
Upstream,HSP70,-1.048,-1.236,
Upstream,NfkB-RelA,1.104,-1.236,
Upstream,PRKCB,-1.253,-1.231,
Upstream,RUNX2,-0.479,-1.231,
Upstream,LYN,-0.904,-1.192,
Upstream,YTHDF2,-1.96,-1.131,
Upstream,PLCE1,-0.078,-1.122,
Upstream,TNFSF13B,1.346,-1.114,
Upstream,JNK,0.242,-1.087,
Upstream,CLEC7A,0.129,-1.067,
Upstream,IL11,0.654,-1.062,
Upstream,Mir122a/b,-1.941,-1,
Upstream,NR5A2,-0.326,-1,
Upstream,APH-1,0,-1,
Upstream,IKZF2,0.632,-1,
Upstream,STAP2,,-1,
Upstream,TNFSF15,-1.969,-0.849,
Upstream,STAT6 dimer,-1.454,-0.831,
Upstream,TRIM28,-1.164,-0.747,
Upstream,BCL3,-1.208,-0.688,
Upstream,THPO,2.263,-0.548,
Upstream,BACH2,1.765,-0.522,
Upstream,PF4,1.394,-0.463,
Upstream,NQO1,-2.236,-0.447,
Upstream,NRP1,-1.976,-0.447,
Upstream,UBE2M,1.897,-0.447,
Upstream,RXRA,-1.594,-0.239,
Upstream,HOXA10,-1.543,-0.186,
Upstream,CDK6,-1.108,0,
Upstream,LATS2,-1,0,
Upstream,PLC,1,0,
Upstream,SELPLG,1.633,0,
Upstream,GPS2,-1.912,0.218,
Upstream,EGR3,1.977,0.314,
Upstream,IFNGR1,2.023,0.447,
Upstream,MEF2A,1.065,0.762,
Upstream,Hbb-b2,1.929,0.762,
Upstream,Hbb-b1,1.929,0.762,
Upstream,mir-130 (includes others),1.505,0.795,
Upstream,STAT,2.434,0.862,
Upstream,USP47,-0.447,1,
Upstream,TOX,0.816,1,
Upstream,G protein alpha i,2.335,1,
Upstream,COL18A1,-0.196,1.067,
Upstream,PIM1,0.342,1.067,
Upstream,IKK (complex),0.896,1.067,
Upstream,IPMK,-1.238,1.095,
Upstream,CD4,1.188,1.103,
Upstream,IFNAR2,2.219,1.114,
Upstream,PTPN22,0,1.131,
Upstream,INSIG1,-0.956,1.342,
Upstream,BATF,-0.765,1.342,
Upstream,MSC,0.632,1.342,
Upstream,DOCK8,1.117,1.342,
Upstream,SASH1,1.897,1.342,
Upstream,Samsn1,2.309,1.342,
Upstream,TANK,1.732,1.414,
Upstream,IL12B,0.863,1.432,
Upstream,NR1H,-0.812,1.511,
Upstream,DNMT3A,0.604,1.664,
Upstream,mir-24 (includes others),0.232,1.948,
Upstream,ISGF3,2.596,1.964,
Upstream,NR1H2,-0.384,1.966,
Upstream,NR1H3,-0.233,1.974,
Upstream,IFNA17,1.664,1.982,
Upstream,ZEB2,0,2,
Upstream,CCR2,1.068,2,
Upstream,SENP3,2.673,2,
Upstream,IFNA21,2.396,2.183,
Upstream,let-7 (includes others),1.191,2.185,
Upstream,IFNA16,2.402,2.191,
Upstream,IFNA6,2.402,2.191,
Upstream,IFNA10,2.402,2.191,
Upstream,IFNA5,2.402,2.191,
Upstream,IFNA7,2.402,2.191,
Upstream,IFNA14,2.402,2.191,
Upstream,IFNA8,2.414,2.201,
Upstream,IFNK,2.646,2.236,
Upstream,JAG2,-3.148,,
Upstream,APOA1,-2.762,,
Upstream,HIVEP1,-2.688,,
Upstream,SERPINA1,-2.596,,
Upstream,alpha catenin,-2.578,,
Upstream,NRAS,-2.556,,
Upstream,UBE2I,-2.449,,
Upstream,Clec10a/Mgl2,-2.433,,
Upstream,TRIM21,-2.395,,
Upstream,LRP1,-2.362,,
Upstream,miR-125b-5p (and other miRNAs w/seed CCCUGAG),-2.236,,
Upstream,CBX5,-2.236,,
Upstream,Ifitm3,-2.236,,
Upstream,IZUMO1R,-2.224,,
Upstream,SIGIRR,-2.223,,
Upstream,Scd2,-2.219,,
Upstream,B2M,-2.219,,
Upstream,PRKAA,-2.207,,
Upstream,ST8SIA1,-2.2,,
Upstream,IL37,-2.147,,
Upstream,PRKCI,-2,,
Upstream,Pla2g2d,-2,,
Upstream,PTP4A1,-2,,
Upstream,CLPP,-2,,
Upstream,IL17RD,-2,,
Upstream,RHO,-2,,
Upstream,SAMHD1,-1.998,,
Upstream,SFTPA1,-1.992,,
Upstream,ANKIB1,-1.982,,
Upstream,CSNK1G3,-1.982,,
Upstream,MXD1,-1.982,,
Upstream,PAEP,-1.982,,
Upstream,NCF1,-1.982,,
Upstream,RYK,-1.982,,
Upstream,SMARCC1,-1.982,,
Upstream,ATM,-1.981,,
Upstream,SRSF1,-1.98,,
Upstream,RLN2,-1.974,,
Upstream,IKZF4,-1.969,,
Upstream,ACOD1,-1.964,,
Upstream,PRKCQ,-1.958,,
Upstream,DCAF1,-1.955,,
Upstream,F7,-1.954,,
Upstream,ZC3H12C,-1.941,,
